Module,Path,baseline,node22,node20,node18,bun,deno,workerd,wranglerUnenv
,,,22.14.0,4.5.1,1.2.0,2.2.8,d3cd504
*globals*,*self*,supported,supported,supported,supported,supported,supported
*globals*,AbortController,supported,supported,supported,supported,supported,supported
*globals*,AbortSignal,supported,supported,supported,supported,supported,supported
*globals*,AggregateError,supported,supported,supported,supported,supported,supported
*globals*,Array,supported,supported,supported,supported,supported,supported
*globals*,ArrayBuffer,supported,supported,supported,supported,supported,supported
*globals*,Atomics.*self*,supported,supported,supported,supported,supported,supported
*globals*,Atomics.add,supported,supported,supported,supported,supported,supported
*globals*,Atomics.and,supported,supported,supported,supported,supported,supported
*globals*,Atomics.compareExchange,supported,supported,supported,supported,supported,supported
*globals*,Atomics.exchange,supported,supported,supported,supported,supported,supported
*globals*,Atomics.isLockFree,supported,supported,supported,supported,supported,supported
*globals*,Atomics.load,supported,supported,supported,supported,supported,supported
*globals*,Atomics.notify,supported,supported,supported,supported,supported,supported
*globals*,Atomics.or,supported,supported,supported,supported,supported,supported
*globals*,Atomics.store,supported,supported,supported,supported,supported,supported
*globals*,Atomics.sub,supported,supported,supported,supported,supported,supported
*globals*,Atomics.wait,supported,supported,supported,supported,supported,supported
*globals*,Atomics.waitAsync,supported,supported,supported,supported,supported,supported
*globals*,Atomics.xor,supported,supported,supported,supported,supported,supported
*globals*,BigInt,supported,supported,supported,supported,supported,supported
*globals*,BigInt64Array,supported,supported,supported,supported,supported,supported
*globals*,BigUint64Array,supported,supported,supported,supported,supported,supported
*globals*,Blob,supported,supported,supported,supported,supported,supported
*globals*,Boolean,supported,supported,supported,supported,supported,supported
*globals*,BroadcastChannel,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,Buffer,supported,supported,supported,supported,unsupported,unsupported
*globals*,ByteLengthQueuingStrategy,supported,supported,supported,supported,supported,supported
*globals*,CompressionStream,supported,supported,supported,unsupported,supported,supported
*globals*,CountQueuingStrategy,supported,supported,supported,supported,supported,supported
*globals*,Crypto,supported,supported,supported,supported,supported,unsupported
*globals*,CryptoKey,supported,supported,supported,supported,supported,unsupported
*globals*,CustomEvent,supported,supported,supported,supported,supported,supported
*globals*,DOMException,supported,supported,supported,supported,supported,supported
*globals*,DataView,supported,supported,supported,supported,supported,supported
*globals*,Date,supported,supported,supported,supported,supported,supported
*globals*,DecompressionStream,supported,supported,supported,unsupported,supported,supported
*globals*,Error,supported,supported,supported,supported,supported,supported
*globals*,EvalError,supported,supported,supported,supported,supported,supported
*globals*,Event,supported,supported,supported,supported,supported,supported
*globals*,EventTarget,supported,supported,supported,supported,supported,supported
*globals*,File,supported,supported,supported,supported,supported,supported
*globals*,FinalizationRegistry,supported,supported,unsupported,supported,supported,supported
*globals*,Float32Array,supported,supported,supported,supported,supported,supported
*globals*,Float64Array,supported,supported,supported,supported,supported,supported
*globals*,FormData,supported,supported,supported,supported,supported,supported
*globals*,Function,supported,supported,supported,supported,supported,supported
*globals*,Headers,supported,supported,supported,supported,supported,supported
*globals*,Infinity,supported,supported,supported,supported,supported,supported
*globals*,Int16Array,supported,supported,supported,supported,supported,supported
*globals*,Int32Array,supported,supported,supported,supported,supported,supported
